0:0:0:0:0:0:0:1 - - [06/Feb/2023:23:44:22 +0900] "GET /yogi/yogiproject/Recommend_main.jsp HTTP/1.1" 200 3225
0:0:0:0:0:0:0:1 - - [06/Feb/2023:23:44:22 +0900] "GET /yogi/css/Header.css HTTP/1.1" 404 834
0:0:0:0:0:0:0:1 - - [06/Feb/2023:23:44:22 +0900] "GET /yogi/js/Header.js HTTP/1.1" 404 832
0:0:0:0:0:0:0:1 - - [06/Feb/2023:23:44:57 +0900] "GET /yogi/yogiproject/Recommend_main.jsp HTTP/1.1" 200 3240
0:0:0:0:0:0:0:1 - - [06/Feb/2023:23:44:58 +0900] "GET /yogi/css/Header.css HTTP/1.1" 404 834
0:0:0:0:0:0:0:1 - - [06/Feb/2023:23:44:58 +0900] "GET /yogi/js/Header.js HTTP/1.1" 404 832
0:0:0:0:0:0:0:1 - - [06/Feb/2023:23:45:36 +0900] "GET /yogi/yogiproject/Recommend_main.jsp HTTP/1.1" 500 4757
0:0:0:0:0:0:0:1 - - [06/Feb/2023:23:45:44 +0900] "GET /yogi/yogiproject/Recommend_main.jsp HTTP/1.1" 200 3515
0:0:0:0:0:0:0:1 - - [06/Feb/2023:23:45:44 +0900] "GET /yogi/css/Header.css HTTP/1.1" 404 834
0:0:0:0:0:0:0:1 - - [06/Feb/2023:23:45:44 +0900] "GET /yogi/js/Header.js HTTP/1.1" 404 832
0:0:0:0:0:0:0:1 - - [06/Feb/2023:23:46:01 +0900] "GET /yogi/yogiproject/Recommend_main.jsp HTTP/1.1" 200 3248
0:0:0:0:0:0:0:1 - - [06/Feb/2023:23:46:01 +0900] "GET /yogi/css/Header.css HTTP/1.1" 404 834
0:0:0:0:0:0:0:1 - - [06/Feb/2023:23:46:01 +0900] "GET /yogi/js/Header.js HTTP/1.1" 404 832
0:0:0:0:0:0:0:1 - - [06/Feb/2023:23:46:20 +0900] "GET /yogi/yogiproject/Recommend_main.jsp HTTP/1.1" 200 3249
0:0:0:0:0:0:0:1 - - [06/Feb/2023:23:46:20 +0900] "GET /yogi/css/Header.css HTTP/1.1" 404 834
0:0:0:0:0:0:0:1 - - [06/Feb/2023:23:46:20 +0900] "GET /yogi/js/Header.js HTTP/1.1" 404 832
